name,description,description_visitor
"Inscription sur liste électorale","Vous souhaitez vous inscrire sur les listes électorales de la ville de Roanne et obtenir une carte électorale ("carte d'électeur).","Vous venez vous inscrire sur les listes électorales.\n  Vous venez vous faire établir une carte d'électeur.\n  Vous venez pour l'inscription sur liste électorale.\n  Vous venez déposer un dossier d'inscription dur la liste électorale de Roanne.\n  Vous venez vous faire établir une carte électorale.\n  Vous souhaitez effectuer les démarches pour l'inscription sur liste électorale.\n  Vous venez effectuer les démarches pour s'inscrire sur liste électorale de Roanne.\n  Vous venez pour une rectification de vos informations sur les listes électorales.\n Vous venez vous inscrire pour voter.\n Vous souhaitez vous inscrire comme électeur pour les prochaines élections.\n"
"Première Inscription scolaire-changement d'école","Vous venez pour une première inscription scolaire ou un changement d'école pour un enfant qui doit aller dans une école publique maternelle ou élémentaire.","Vous venez préinscrire votre enfant à l'école maternelle.\n  Vous venez pour une première inscription scolaire.\n  Vous venez pour effectuer la première inscription de votre enfant.\n  Vous venez pour une première inscription de votre enfant dans une école publique.\n  Vous venez trouver une école primaire pour votre enfant.\n  Vous venez trouver une école pour vos enfants.\n  Vous souhaitez obtenir une dérogation pour inscrire votre enfant dans un autre secteur que celui de rattachement.\n  Vous venez demander l'inscription d'un enfant habitant une commune extérieure.\n  Vous souhaitez solliciter l'avis du Maire pour inscrire votre enfant dans une école élémentaire située dans une autre commune.\n  Vous venez demander un changement d'école maternelle.\n  Vous souhaitez changer l'école élémentaire de votre enfant.\n  Vous souhaitez changer l'école primaire de vos enfants.\n  Vous venez changer l'école de votre enfant."
"Inscription Périscolaire (Cantine et Accueil)","vous souhaitez inscrire vos enfants aux temps périscolaires (accueil du matin, du midi, du soir ou restauration scolaire). Vous souhaitez que votre enfant déjeune dans un des restaurants scolaires municipaux.","Vous venez pour inscrire vos enfants aux temps périscolaires.\n  Vous voulez inscrire votre enfant à la cantine.\n  Vous souhaitez que votre enfant déjeune dans un des restaurants scolaires municipaux.\n  Vous venez pour inscrire votre enfant à l'accueil du matin, du midi, ou du soir.\n  Vous souhait pour inscrire vos enfants à la restauration scolaire.\n  Vous souhaitez que vos enfants soient accueillis au restaurant scolaire.\n  Vous venez déposer un dossier d'inscription à la cantine."
"Commande ou décommande de repas","Vous souhaiter choisir les menus de votre ou vos enfant(s) en commandant ou en décommandant des repas.","Vous souhaitez commander un repas pour votre enfant.\n  Vous voulez décommander le repas de votre enfant au restaurant scolaire.\n  Vous venez annuler la commande du repas de votre enfant.\n  Vous venez choisir les menus de vos enfants.\n  Vous venez commander un menu pour votre enfant.\n  Vous voulez choisir les repas de vos enfants."
"Règlement cantine en espèces","Vous venez pour un règlement (paiement) en espèce du repas de votre ou vos enfant(s) à la cantine.","Vous venez effectuer vos paiements au moyen d’espèces à la cantine.\n  Vous venez payer en espèces le repas de votre enfant au restaurant scolaire.\n  Vous venez régler la restauration scolaire de vos enfants.\n  Vous venez pour un règlement en espèces à la cantine.\n  Vous venez pour un règlement en espèces au restaurant scolaire.\n  Vous souhaitez payer votre commande en espèce à la cantine scolaire.\n  Vous venez payer par chèque le repas de votre enfant.\n  Vous venez payer en espèce un repas non décommandé.\n  Vous venez régler un impayé en espèces à la cantine."
"Renseignements, modification de dossier","Vous venez modifier un dossier d'inscription ou demander un renseignement sur des questions relatives à votre insertion professionnelle, ou des formations, ou la cantine.","Vous venez demander un renseignement concernant votre insertion professionnelle.\n  Vous avez besoin d'information pour élaborer votre parcours de formation.\n  Vous avez besoin d'information sur les formations professionnelles.\n  Vous avez besoin d'information sur les qualifications.\n  Vous avez besoin d'information sur les professions.\n  Vous venez pour une orientation pour choisir un métier.\n  Vous souhaitez rencontrer le conseiller d'orientation psychologue pour un entretien personnalisé.\n  Vous souhaitez être accompagné dans l’élaboration de votre parcours de formation.\n  Vous avez des questions concernant l'éducation de vos enfants.\n  Vous voulez consulter le calendrier de réservation des repas.\n  Vous voulez modifier le dossier d'inscription de votre enfant à la cantine.\n  Vous voulez modifier le dossier d'inscription périscolaire de votre enfant.\n  Vous venez pour la modification du dossier de votre enfant."
"relance amiable : référence courrier reçu RC","Vous venez parce que vous avez reçu un courrier de relance amiable avec accusé de réception concernant vos impayés de loyer ou de charges.","Vous venez parce que vous avez reçu un courrier qui vous rappelle de régler vos impayés de logement à OPHEOR. \n Vous venez suite à la réception d'un courrier de relance amiable concernant les impayés de votre loyer. \n Vous venez suite à la réception d'un courrier de relance amiable concernant les impayés de vos charges forfaitaires. \n Vous venez parce que OPHEOR vous a rappelé par courrier avec accusé de réception (RC) de vous présentez à la mairie pour régler vos impayés de loyer. \n Vous venez parce qu’OPHEOR vous a envoyé une lettre recommandée (RC) de relance amiable pour vous rappeler de régler vos impayés de loyer."
"contentieux locataire présent : référence courrier reçu FC","Vous venez pour un contentieux relatif à des impayés pour votre résidence OPHEOR présente.","Vous êtes actuellement locataire d'une résidence OPHEOR. Vous venez régler un contentieux d'impayés à la suite d'un courrier que vous avez reçu d'OPHEOR.\n  Vous venez pour un contentieux d'impayés concernant votre logement OPHEOR actuel.\n  Vous êtes en contentieux d'impayés avec l'agence OPHEOR qui gère votre résidence."
"contentieux locataire parti : référence courrier reçu FC","Vous venez pour un contentieux concernant des impayés suite à un courrier reçu après que soyez parti de votre ancienne résidence OPHEOR.","Vous avez quittez votre résidence. Vous venez régler un contentieux d'impayés à la suite d'un courrier que vous avez reçu d'OPHEOR.\n  Vous venez pour un contentieux d'impayés concernant votre ancien appartement OPHEOR.\n  Vous venez concernant un courrier reçu à la suite de votre départ d'une résidence OPHEOR pour un contentieux d'impayés."
"explication avis échéance loyer","Vous avez reçu un avis d'échéance de loyer qui vous rappelle le paiement de votre loyer et vos charges, ou un retard de paiement. Vous avez besoin d'explications.","Vous avez des questions concernant l'avis d'échéance que vous avez reçu.\n  Vous venez obtenir des explications relatives à votre dernier avis d'échéance.\n Vous venez pour des explications relatives à un avis d'échéance."
"explication régularisation des charges","Vous désirer comprendre comment OPHEOR calcule la quote-part qui vous est imputable dès que les dépenses et consommations annuelles réelles de votre résidence sont connues.","Vous venez poser une question sur la régularisation des charges.\n  Vous avez besoin d'explications sur la régularisation des charges.\n  Vous venez obtenir des explications sur la manière dont OPHEOR calcule la quote-part qui vous est imputable dès que les dépenses et consommations annuelles réelles de votre résidence sont connues.\n Vous avez besoin d'explications sur la régularisation des charges de mon logement."
"décompte de sortie (locataire quittant OPHEOR)","Vous venez pour les démarches de décompte de sortie dont celles relatives à le dépôt de garantie, les arriérés de loyer ou charges éventuels, les indemnités suite à état des lieux, et le décompte forfaitaire de charges locatives.","Vous venez pour régler votre décompte de sortie.\n  Vous venez payer des arriérés de loyer car vous quitter votre résidence.\n  Vous venez régler votre décompte de sortie de votre résidence OPHEOR.\n  Vous quittez OPHEOR. Vous souhaitez payer les indemnités d'état des lieux.\n  Vous venez régler les indemnités d'état des lieux.\n  Vous venez régler vos charges impayées car vous quittez votre maison.\n  Vous venez récupérer le dépôt de garantie de votre location."
"mise en place contrat prélèvement","Vous venez pour la mise en place d'un contrat de paiement de loyer par prélèvement automatique.","Vous venez pour la mise en place d'un contrat de prélèvement automatique de votre loyer.\n  Vous venez pour la mise en place d'un contrat de paiement de loyer par prélèvement automatique.\n  Vous venez pour mettre en place le paiement de votre loyer par prélèvement automatique.\n Vous venez pour établir un contrat de prélèvement de votre loyer."
"demandes d'attestations diverses","Vous venez demander une attestation concernant cotre loyer en résidence OPHEOR (attestation de résidence, quittance de loyer…)","Vous venez demander une attestation de résidence.\n Vous avez besoin d'une attestation de résidence.\n  Vous venez demander une quittance de loyer."
"PACS (Dépôt de dossier, modification ou dissolution )","Vous venez effectuer le dépôt de votre dossier de PACS (Pacte Civil de Solidarité). Vous venez effectuer la modification de votre dossier de PACS. Vous venez effectuer la dissolution de votre PACS.","Vous venez pour une dissolution de PACS.\n Vous venez pour la dissolution d'un Pacte Civil de Solidarité.\n  Vous souhaitez modifier votre dossier Pacte Civil de Solidarité.\n  Vous venez effectuer un dépôt de dossier de PACS.\n  Vous venez effectuer un dépôt de dossier de Pacte Civil de Solidarité.\n  Vous venez déposer votre dossier de PACS.\n  Vous souhaitez dissoudre votre PACS.\n Vous souhaitez dissoudre votre Pacte Civil de Solidarité.\n Vous souhaitez dissoudre votre convention de Pacte Civil de Solidarité.\n Vous voulez annuler votre Pacte Civil de Solidarité"
