demande;motif;groupe_motif
nous désirons obtenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je vais retirer un AVC;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin de retirer mon acte de décès;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens de retirer un acte de décès;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je souhaite retirer l'acte de naissance de mon enfant;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je dois déclarer le décès de ma maman et je ne sais pas quelle pièce il faut fournir;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai 2 enfants et j'aimerais récupérer leurs actes de naissance pourriez-vous m'en procurer s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
jeux rendez-vous pour certificat de naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour Dans le cadre d'une démarche personnelle on me demande un état civil du coup je vais avoir pour voir si on peut poser rendez-vous s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour madame Rossi je viens pour déclarer la naissance de ma fille Carla Rossi;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je voudrais savoir si de naissance de la France;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je voudrais savoir si l'acte de naissance belge est valable en France;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'aurais voulu avoir un acte de naissance de ma fille s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de naissance intégral;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
obtenir un certificat de mariage pour des démarches administratives;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour mon grand-père est décédé j'aimerais récupérer un dossier pour faire la déclaration de décès;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai bien récupéré l'acte de décès de mon grand-père merci;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens récupérer l'acte de mariage merci;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens récupérer l'acte de naissance de mon enfant s'il vous plaît;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour un banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
ma fille vient de naître et je voudrais déclarer sa naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de naissance pour mes impôts;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour l'enregistrement d'un acte de naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je viens de déclarer une naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de naissance;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je souhaite obtenir un acte de mariage;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
je souhaite obtenir un acte de décès;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'un acte de décès pour mon banquier;Actes de naissance, mariage, décès;01a - Etat Civil naissance, décés et actes administratifs
oui bonjour je suis un habitant de l'agglomération de Roanne et je souhaiterais récupérer mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
oui bonjour Vincent te va je suis habitant de la ville de Roanne je suis déjà venu une première fois pour remplir mon dossier livret de famille mais on m'a expliqué qu'il manquait des documents alors je suis venu plusieurs fois c'est la même personne qui m'a reçu je crois que c'était la Jean-Dominique je ne sais plus sûrement se y a deux trois semaines et je souhaiterais être reçu à nouveau pour terminer tout le dossier obtenir mon livre et merci;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons de nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens déposer mon dossier pour le livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
amour de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai perdu mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
Bonjour Je j'aime prendre sur mon livret de famille qui apparemment n'est pas un petit homme a rempli;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que nous avons eu un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
Bonjour j'ai un enfant qui vient de naître et j'ai une grand-mère qui vient de mourir donc je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je voudrais récupérer une copie de mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens pour déclarer une naissance;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens de mettre à jour mon livret de famille car j'ai divorcé;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous voulons nous faire délivrer un livret de famille parce que nous avons adopté une fois récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai un pour une photocopie de mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens mettre à jour mon livret de famille car j'ai divorcé;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens pour avoir une copie de mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens déclarer le mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que vous avez adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin de mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire des livret A livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai perdu mon livret de famille et je voudrais le faire renouveler;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons de nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
puis-je avoir une copie de notre registre familier à s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
puis-je retirer une copie de notre registre généalogique s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
retirer une copie de notre Régis généalogie s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai besoin d'une nouvelle copie de mon registre familiale s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai pris rendez-vous aujourd'hui pour faire mettre à jour mon livret de famille parce que maman de ma famille vient de décéder;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
que je devais venir pour la mise à jour de notre registre généalogique parce que je viens d'adopter un nouvel enfant;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
c'est aujourd'hui que j'avais rendez-vous pour retirer une copie de mon registre généalogie;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
ma femme et moi venons très longtemps une autre une autre;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
ma femme et moi venons enregistré notre enfant sur notre arbre généalogique dans notre registre familier;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens pour déclarer la naissance de mon enfant;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai égaré mon livret de famille et j'aurais voulu faire un duplicata;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens mettre mon livret de famille à jour car j'ai divorcé;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
modifier le livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour mon fils vient de naître je viens pour modifier livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour enregistrer mon père qui est mort;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédée je viens pour mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'aurais besoin des différents actes d'état civil pour l'ensemble de ma famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
nous venons nous faire délivrer un livret de famille parce que nous avons adopté un enfant récemment;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'ai perdu mon livret de famille je voudrais le refaire;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je voudrais faire refaire mon livret de famille car je l'ai perdu serait-il possible d'en avoir un nouveau merci;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai perdu mon livret de famille et je prendre rendez-vous pour le repas;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens enregistrer la naissance du mail que;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
Bonjour J'ai perdu mon livret de famille du coup je viens vous voir pour savoir comment faire pour essayer d'avoir un duplicata ou quelque chose comme ça;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour il me faudrait un justificatif par rapport à mon livret de famille pour ma fille car la Russie justifiant qu'elle a été baptisé;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour suite à la perte de mon livret de famille je voulais savoir s'il y a moyen d'avoir un duplicata;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens récupérer mon livret de famille merci;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
puis-je avoir le registre de ma famille s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
un membre de ma famille est décédé je viens mettre à jour mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai perdu mon livret de famille il m'en faudrait un autre;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour demander un livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
puis-je avoir le registre de ma famille s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
j'ai perdu mon livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
puis-je avoir le registre de ma famille s'il vous plaît;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens mettre à jour mon livret de famille car j'ai divorcé;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je viens pour récupérer un livret de famille;Livret de famille;01a - Etat Civil naissance, décés et actes administratifs
je souhaite déclarer la naissance de ma fille;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je souhaiterais faire reconnaître un enfant s'il vous plaît;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
Bonjour je souhaiterais faire déclarer la naissance de mon enfant;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je veux établir un acte de reconnaissance prénatale;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je voudrais établir un acte de reconnaissance prénatale;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je souhaite reconnaître mon nouveau-né;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens déclarer la naissance de mon enfant;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je vais établir un acte de reconnaissance prénatale;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour la naissance de ma fille je voudrais faire la déclaration;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens d'avoir un enfant et du coup ben je voudrais voir pour faire les papiers pour la reconnaissance;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
j'ai déclaré de la naissance de mon fils;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je te reconnaître mon nouveau-né;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je suis devenu papa et des papiers à faire;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je veux établir un acte de naissance de reconnaissance prénatale;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
Bonjour il y a une nana que j'ai connu il y a quelques temps qui est venu me voir en me disant qu'elle avait eu un enfant qui a priori serait de moi donc bah comme elle est pas mal du coup je vais reconnaître l'enfant pour me remettre avec elle;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens pour une reconnaissance d'enfant illégitime;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je veux établir un acte de reconnaissance prénatale;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens déclarer mon fils;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
j'ai un nouveau petit je viens de déclarer;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens faire reconnaître mon petit;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je souhaiterais reconnaître mon nouveau-né;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens pour déclarer mon nouvel enfant;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens pour reconnaître ma fille;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
ben je viens pour déclarer un enfant qui vient de naître;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je vais établir un acte de reconnaissance prénatale;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
j'ai eu un enfant dans la semaine dernière et je voudrais le déclarer;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
ben je viens d'apprendre que j'ai eu un enfant il y a quelques années et je voudrais le reconnaître;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens de faire la connaissance de ma gamine qui a 16 ans et d'ange ignorez l'existence jusqu'à présent je viens la reconnaître;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens déclarer la naissance de l'enfant de ma voisine parce qu'elle a encore à l'hôpital;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens déclarer larrivaux mon du joli bébé de ma voisine parce que en fait elle peut pas venir elle est encore à l'hôpital elle vient tout récemment de monde sont jolies;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens déclarer l'arrivée au monde de du joli bébé de ma voisine elle n'a pas pu faire le déplacement elle-même parce que elle est encore à l'hôpital elle a encore besoin de soins et vraiment envoyer pour le faire;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je viens pour déclarer la naissance de mon enfant;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
je souhaite reconnaître mon nouveau-né;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour une déclaration de naissance;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
bonjour je viens pour reconnaître mon enfant;Déclaration de naissance, Reconnaissance;01a - Etat Civil naissance, décés et actes administratifs
